country,city,total_events,total_conversions,conversion_rate_pct,last_updated
Liechtenstein,Benjaminport,2,1,50.00,2026-03-24 16:59:16.166813
Burkina Faso,Port Katherineport,2,1,50.00,2026-03-24 16:56:08.448761
Hong Kong,Marieshire,1,0,0.00,2026-03-24 16:53:47.887012
Mauritania,Leeborough,1,0,0.00,2026-03-24 16:47:15.079650
Afghanistan,Port David,1,0,0.00,2026-03-24 16:48:13.416028
Finland,South Jenny,1,0,0.00,2026-03-24 16:47:19.628413
Georgia,Kellyville,1,0,0.00,2026-03-24 16:54:45.500956
New Caledonia,Port Nicholaschester,1,0,0.00,2026-03-24 16:59:16.686814
Mongolia,New Daniel,1,0,0.00,2026-03-24 16:48:43.786871
Hungary,North Alice,1,0,0.00,2026-03-24 16:49:09.321864
Mongolia,Davisview,1,0,0.00,2026-03-24 16:54:42.972877
Estonia,New Williamview,1,0,0.00,2026-03-24 16:57:14.701980
Martinique,Obrienmouth,1,1,100.00,2026-03-24 16:55:11.207502
Colombia,North Matthewbury,1,0,0.00,2026-03-24 16:59:37.846776
Western Sahara,Wilsonport,1,0,0.00,2026-03-24 16:49:48.772334
United States Virgin Islands,North Jonathanberg,1,1,100.00,2026-03-24 16:53:11.096397
Montserrat,South Christopher,1,0,0.00,2026-03-24 16:59:40.989240
Tunisia,Murraychester,1,0,0.00,2026-03-24 17:01:44.772412
Afghanistan,Lopezmouth,1,0,0.00,2026-03-24 16:49:13.246619
Uzbekistan,East Kathy,1,0,0.00,2026-03-24 16:54:46.930271
Kazakhstan,Kyleborough,1,0,0.00,2026-03-24 16:47:15.687793
Barbados,Leeborough,1,0,0.00,2026-03-24 17:00:47.335838
Greece,Kennethland,1,0,0.00,2026-03-24 16:53:10.168213
Tonga,South Krystal,1,0,0.00,2026-03-24 16:56:34.742006
Mayotte,Nancyshire,1,0,0.00,2026-03-24 16:58:38.949446
Benin,Melaniemouth,1,1,100.00,2026-03-24 16:52:10.437599
Spain,Estesfurt,1,1,100.00,2026-03-24 16:49:08.011824
Haiti,Port Peterview,1,0,0.00,2026-03-24 16:47:18.546827
Guadeloupe,Port Sherrybury,1,1,100.00,2026-03-24 16:58:39.678062
Australia,Donnashire,1,0,0.00,2026-03-24 16:59:38.973900
Colombia,East Wendyside,1,0,0.00,2026-03-24 16:54:46.465522
Paraguay,West Joannabury,1,0,0.00,2026-03-24 16:57:46.024531
Barbados,Jamesfort,1,0,0.00,2026-03-24 16:57:15.540044
Bahrain,Houstonbury,1,0,0.00,2026-03-24 16:56:34.516731
Papua New Guinea,Smithmouth,1,0,0.00,2026-03-24 16:59:37.797654
Cameroon,Cliffordchester,1,0,0.00,2026-03-24 16:47:45.464636
Panama,Port Kiarashire,1,0,0.00,2026-03-24 16:57:13.425877
Montserrat,Conwaychester,1,0,0.00,2026-03-24 16:58:10.924860
Tuvalu,Lake Michael,1,1,100.00,2026-03-24 16:51:39.554462
Cameroon,Noahberg,1,1,100.00,2026-03-24 17:00:13.018227
Montenegro,East Ryanview,1,0,0.00,2026-03-24 16:47:19.884615
Mali,North Sarahmouth,1,0,0.00,2026-03-24 17:00:10.070923
Tanzania,West Nicolehaven,1,0,0.00,2026-03-24 16:55:10.976505
Brunei Darussalam,Taylorfort,1,0,0.00,2026-03-24 16:47:16.294970
Israel,East Scottburgh,1,0,0.00,2026-03-24 17:01:47.483511
Uzbekistan,Eatonfort,1,0,0.00,2026-03-24 16:47:23.053158
Algeria,New Scott,1,0,0.00,2026-03-24 16:47:18.546827
Timor-Leste,Diazton,1,0,0.00,2026-03-24 16:47:15.080090
North Macedonia,Port Brian,1,0,0.00,2026-03-24 16:50:04.420033
Mali,South Caitlinmouth,1,0,0.00,2026-03-24 16:47:17.309437
Korea,New Peterville,1,0,0.00,2026-03-24 16:47:20.630941
El Salvador,Paulberg,1,0,0.00,2026-03-24 16:56:05.580199
Congo,South Derrick,1,1,100.00,2026-03-24 16:54:16.857795
Poland,Smithbury,1,0,0.00,2026-03-24 16:50:43.781520
Bahamas,Dennishaven,1,0,0.00,2026-03-24 16:47:18.404824
French Polynesia,Martinezfort,1,0,0.00,2026-03-24 16:47:39.803942
Montenegro,Martinburgh,1,1,100.00,2026-03-24 16:49:48.666791
Cuba,Andersonport,1,0,0.00,2026-03-24 16:47:43.117457
Panama,North Hectorburgh,1,0,0.00,2026-03-24 17:01:44.115041
Somalia,West Adamshire,1,0,0.00,2026-03-24 16:58:08.769812
Switzerland,Lake Nicholas,1,0,0.00,2026-03-24 16:49:26.089427
Palau,Port Kevinport,1,0,0.00,2026-03-24 16:47:21.126208
Italy,East Laura,1,1,100.00,2026-03-24 16:51:16.291023
Georgia,Cameronfort,1,0,0.00,2026-03-24 16:51:17.021585
Mayotte,New John,1,0,0.00,2026-03-24 16:55:10.251225
Poland,Haleyview,1,0,0.00,2026-03-24 17:00:44.785166
Norway,New Arielside,1,0,0.00,2026-03-24 16:57:44.643364
Ecuador,South Lisaton,1,0,0.00,2026-03-24 16:54:44.548008
Angola,Luiston,1,0,0.00,2026-03-24 16:50:44.400430
Saint Pierre and Miquelon,Sergiofort,1,0,0.00,2026-03-24 16:48:09.386869
Tanzania,Garciahaven,1,0,0.00,2026-03-24 16:47:16.522381
Jordan,Erikbury,1,0,0.00,2026-03-24 16:47:16.971788
Croatia,South Rachelfurt,1,0,0.00,2026-03-24 17:01:05.594830
Montserrat,Port Alexanderburgh,1,1,100.00,2026-03-24 16:54:13.483447
New Caledonia,Deborahton,1,0,0.00,2026-03-24 16:57:13.425877
Finland,Wilsonport,1,1,100.00,2026-03-24 16:47:23.130731
Sudan,Port Elizabeth,1,0,0.00,2026-03-24 16:58:38.302441
Maldives,Smithview,1,1,100.00,2026-03-24 16:47:41.900823
Sierra Leone,Wolffort,1,1,100.00,2026-03-24 16:58:08.344067
French Polynesia,West Christinestad,1,0,0.00,2026-03-24 16:57:14.878381
Netherlands Antilles,Jacksonshire,1,0,0.00,2026-03-24 16:47:15.280586
Nicaragua,Lake Luis,1,0,0.00,2026-03-24 16:59:40.608898
New Zealand,Barnesstad,1,0,0.00,2026-03-24 16:51:15.316084
Vietnam,Alitown,1,0,0.00,2026-03-24 16:52:11.747286
Cape Verde,Josephton,1,0,0.00,2026-03-24 16:53:07.864427
Turks and Caicos Islands,East Kimberlyfurt,1,0,0.00,2026-03-24 16:55:09.783794
Norfolk Island,New Kyle,1,0,0.00,2026-03-24 16:53:46.281765
Finland,Tammyfurt,1,0,0.00,2026-03-24 16:54:16.581262
China,Lake Laurenborough,1,0,0.00,2026-03-24 16:51:42.846461
Senegal,West Jonathanberg,1,0,0.00,2026-03-24 17:00:12.197242
North Macedonia,Zimmermanborough,1,0,0.00,2026-03-24 16:59:13.139489
Costa Rica,Kimberlyport,1,0,0.00,2026-03-24 16:49:50.280164
Gabon,North Michael,1,0,0.00,2026-03-24 16:59:38.846174
